운영기관,충전소,충전기ID,충전기타입,시설구분(대),시설구분(소),지역,시군구,주소,이용가능시간,이용자 제한,충전용량,편의제공,비고
서울시,연남동 공영주차장,1,DC콤보,공공시설,공공기관,서울특별시,마포구 ,서울특별시 마포구 연남로 84 지상 1층,24시간 이용가능,,급속(100kW단독),N,
서울시,연남동 공영주차장,2,DC콤보,공공시설,공공기관,서울특별시,마포구 ,서울특별시 마포구 연남로 84 지상 1층,24시간 이용가능,,급속(100kW단독),N,
서울시,50동부캠퍼스,1,AC완속,공공시설,지자체시설,서울특별시,광진구 ,서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스,24시간 이용가능,,완속(7kW단독),N,
서울시,50동부캠퍼스,2,AC완속,공공시설,지자체시설,서울특별시,광진구 ,서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스,24시간 이용가능,,완속(7kW단독),N,
서울시,50동부캠퍼스,3,AC완속,공공시설,지자체시설,서울특별시,광진구 ,서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스,24시간 이용가능,,완속(7kW단독),N,
서울시,50동부캠퍼스,4,AC완속,공공시설,지자체시설,서울특별시,광진구 ,서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스,24시간 이용가능,,완속(7kW단독),N,
서울시,50동부캠퍼스,5,AC완속,공공시설,지자체시설,서울특별시,광진구 ,서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스,24시간 이용가능,,완속(7kW단독),N,
서울시,50동부캠퍼스,6,AC완속,공공시설,지자체시설,서울특별시,광진구 ,서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스,24시간 이용가능,,완속(7kW단독),N,
서울시,50동부캠퍼스,7,AC완속,공공시설,지자체시설,서울특별시,광진구 ,서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스,24시간 이용가능,,완속(7kW단독),N,
서울시,50동부캠퍼스,8,AC완속,공공시설,지자체시설,서울특별시,광진구 ,서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스,24시간 이용가능,,완속(7kW단독),N,
서울시,50동부캠퍼스,9,AC완속,공공시설,지자체시설,서울특별시,광진구 ,서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스,24시간 이용가능,,완속(7kW단독),N,
서울시,50동부캠퍼스,10,AC완속,공공시설,지자체시설,서울특별시,광진구 ,서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스,24시간 이용가능,,완속(7kW단독),N,
서울시,50동부캠퍼스,11,DC콤보,공공시설,지자체시설,서울특별시,광진구 ,서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스,24시간 이용가능,,급속(50kW단독),N,
서울시,50동부캠퍼스,12,DC콤보,공공시설,지자체시설,서울특별시,광진구 ,서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스,24시간 이용가능,,급속(100kW단독),N,
서울시,50동부캠퍼스,13,DC콤보,공공시설,지자체시설,서울특별시,광진구 ,서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스,24시간 이용가능,,급속(100kW단독),N,
서울시,AI 체육센터,1,AC완속,공공시설,주민센터,서울특별시,서초구 ,서울특별시 서초구 태봉로 108 AI 체육센터,24시간 이용가능,,완속(7kW단독),N,
서울시,AI 체육센터,2,DC콤보,공공시설,주민센터,서울특별시,서초구 ,서울특별시 서초구 태봉로 108 AI 체육센터,24시간 이용가능,,급속(100kW단독),N,
서울시,SK허브수 인근 거주자우선주차장,1,AC완속,주차시설,공영주차장,서울특별시,구로구 ,"서울특별시 구로구 구일로10길 27 (구로동, SK허브수) 지상1층 A동 앞 노상공영주차장",24시간 이용가능,,완속(7kW단독),N,
서울시,SK허브수 인근 거주자우선주차장,2,AC완속,주차시설,공영주차장,서울특별시,구로구 ,"서울특별시 구로구 구일로10길 27 (구로동, SK허브수) 지상1층 A동 앞 노상공영주차장",24시간 이용가능,,완속(7kW단독),N,
